tarih,USD/TRY
2019-01-01,"5,2923"
2019-01-02,"5,3916"
2019-01-03,"5,4654"
2019-01-04,"5,3301"
2019-01-07,"5,3805"
2019-01-08,"5,4801"
2019-01-09,"5,4728"
2019-01-10,"5,4133"
2019-01-11,"5,4520"
2019-01-14,"5,4336"
2019-01-15,"5,4417"
2019-01-16,"5,3320"
2019-01-17,"5,3434"
2019-01-18,"5,3273"
2019-01-21,"5,3222"
2019-01-22,"5,3359"
2019-01-23,"5,2823"
2019-01-24,"5,2623"
2019-01-25,"5,2678"
2019-01-28,"5,3269"
2019-01-29,"5,3070"
2019-01-30,"5,2242"
2019-01-31,"5,1606"
2019-02-01,"5,2074"
2019-02-04,"5,2151"
2019-02-05,"5,1925"
2019-02-06,"5,2079"
2019-02-07,"5,2633"
2019-02-08,"5,2464"
2019-02-11,"5,2742"
2019-02-12,"5,2471"
2019-02-13,"5,2798"
2019-02-14,"5,2703"
2019-02-15,"5,2704"
2019-02-18,"5,3013"
2019-02-19,"5,2803"
2019-02-20,"5,3211"
2019-02-21,"5,3177"
2019-02-22,"5,3176"
2019-02-25,"5,3005"
2019-02-26,"5,3020"
2019-02-27,"5,3109"
2019-02-28,"5,3341"
2019-03-01,"5,3732"
2019-03-04,"5,3727"
2019-03-05,"5,3842"
2019-03-06,"5,4263"
2019-03-07,"5,4702"
2019-03-08,"5,4260"
2019-03-11,"5,4445"
2019-03-12,"5,4552"
2019-03-13,"5,4544"
2019-03-14,"5,4653"
2019-03-15,"5,4457"
2019-03-18,"5,4659"
2019-03-19,"5,4754"
2019-03-20,"5,4178"
2019-03-21,"5,4612"
2019-03-22,"5,7617"
2019-03-25,"5,5493"
2019-03-26,"5,3269"
2019-03-27,"5,3268"
2019-03-28,"5,5460"
2019-03-29,"5,5405"
2019-04-01,"5,4853"
2019-04-02,"5,6040"
2019-04-03,"5,6221"
2019-04-04,"5,5881"
2019-04-05,"5,6252"
2019-04-08,"5,6893"
2019-04-09,"5,6906"
2019-04-10,"5,6808"
2019-04-11,"5,7342"
2019-04-12,"5,7683"
2019-04-15,"5,7997"
2019-04-16,"5,7662"
2019-04-17,"5,7367"
2019-04-18,"5,7945"
2019-04-19,"5,8102"
2019-04-22,"5,8262"
2019-04-23,"5,8277"
2019-04-24,"5,8705"
2019-04-25,"5,9243"
2019-04-26,"5,9372"
2019-04-29,"5,9448"
2019-04-30,"5,9617"
2019-05-01,"5,9640"
2019-05-02,"5,9635"
2019-05-03,"5,9531"
2019-05-06,"6,0769"
2019-05-07,"6,1501"
2019-05-08,"6,1835"
2019-05-09,"6,1907"
2019-05-10,"5,9757"
2019-05-13,"6,0552"
2019-05-14,"6,0249"
2019-05-15,"5,9973"
2019-05-16,"6,0415"
2019-05-17,"6,0540"
2019-05-20,"6,0189"
2019-05-21,"6,0515"
2019-05-22,"6,0910"
2019-05-23,"6,0954"
2019-05-24,"6,0815"
2019-05-27,"6,0560"
2019-05-28,"6,0271"
2019-05-29,"6,0090"
2019-05-30,"5,8746"
2019-05-31,"5,8372"
2019-06-03,"5,8293"
2019-06-04,"5,7746"
2019-06-05,"5,7300"
2019-06-06,"5,7759"
2019-06-07,"5,8300"
2019-06-10,"5,7737"
2019-06-11,"5,7946"
2019-06-12,"5,8070"
2019-06-13,"5,8619"
2019-06-14,"5,9005"
2019-06-17,"5,8687"
2019-06-18,"5,8225"
2019-06-19,"5,7833"
2019-06-20,"5,7600"
2019-06-21,"5,8204"
2019-06-24,"5,8080"
2019-06-25,"5,7939"
2019-06-26,"5,7719"
2019-06-27,"5,7698"
2019-06-28,"5,7873"
2019-07-01,"5,6431"
2019-07-02,"5,6485"
2019-07-03,"5,6171"
2019-07-04,"5,5943"
2019-07-05,"5,6278"
2019-07-08,"5,7357"
2019-07-09,"5,7287"
2019-07-10,"5,6702"
2019-07-11,"5,6704"
2019-07-12,"5,7081"
2019-07-15,"5,7116"
2019-07-16,"5,7108"
2019-07-17,"5,6806"
2019-07-18,"5,6136"
2019-07-19,"5,6531"
2019-07-22,"5,6750"
2019-07-23,"5,7168"
2019-07-24,"5,7046"
2019-07-25,"5,7017"
2019-07-26,"5,6708"
2019-07-29,"5,6098"
2019-07-30,"5,5558"
2019-07-31,"5,5854"
2019-08-01,"5,6019"
2019-08-02,"5,5587"
2019-08-05,"5,5705"
2019-08-06,"5,5182"
2019-08-07,"5,4910"
2019-08-08,"5,4691"
2019-08-09,"5,4907"
2019-08-12,"5,5593"
2019-08-13,"5,5588"
2019-08-14,"5,6105"
2019-08-15,"5,5642"
2019-08-16,"5,5775"
2019-08-19,"5,6528"
2019-08-20,"5,7265"
2019-08-21,"5,7094"
2019-08-22,"5,7678"
2019-08-23,"5,7589"
2019-08-26,"5,8201"
2019-08-27,"5,8218"
2019-08-28,"5,8101"
2019-08-29,"5,8390"
2019-08-30,"5,8296"
2019-09-02,"5,8044"
2019-09-03,"5,7283"
2019-09-04,"5,6660"
2019-09-05,"5,6846"
2019-09-06,"5,7145"
2019-09-09,"5,7479"
2019-09-10,"5,7641"
2019-09-11,"5,7456"
2019-09-12,"5,6491"
2019-09-13,"5,6851"
2019-09-16,"5,7245"
2019-09-17,"5,6962"
2019-09-18,"5,6720"
2019-09-19,"5,7148"
2019-09-20,"5,7429"
2019-09-23,"5,7149"
2019-09-24,"5,6963"
2019-09-25,"5,6681"
2019-09-26,"5,6617"
2019-09-27,"5,6698"
2019-09-30,"5,6479"
2019-10-01,"5,7221"
2019-10-02,"5,6946"
2019-10-03,"5,6896"
2019-10-04,"5,6952"
2019-10-07,"5,8318"
2019-10-08,"5,8251"
2019-10-09,"5,8679"
2019-10-10,"5,8320"
2019-10-11,"5,8833"
2019-10-14,"5,9261"
2019-10-15,"5,9068"
